,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
2945,Waguespack,Jacob,621097,waguj001,wagueja01,18318,2019.0,2024.0
2949,Kelly,Michael,547184,kellm004,kellymi03,12791,2022.0,2024.0
2954,Littell,Zack,641793,littz001,litteza01,15823,2018.0,2024.0
2956,Castro,Rodolfo,666801,castr006,castrro01,21987,2021.0,2023.0
2962,Higashioka,Kyle,543309,higak001,higasky01,5517,2017.0,2024.0
2965,Kirilloff,Alex,666135,kiria001,kirilal01,20325,2021.0,2024.0
2992,Allard,Kolby,663465,allak001,allarko01,18694,2018.0,2024.0
3006,Richards,Trevor,670950,richt001,richatr01,19309,2018.0,2024.0
3024,Anderson,Brian,605119,andeb006,anderbr06,18289,2017.0,2024.0
3043,Skubal,Tarik,669373,skubt001,skubata01,22267,2020.0,2024.0
3048,DeSclafani,Anthony,543101,desca001,desclan01,13050,2014.0,2023.0
3049,Adam,Jason,592094,adamj002,adamja01,11861,2018.0,2024.0
3052,Frelick,Sal,686217,frels001,frelisa01,29622,2023.0,2024.0
3056,Barger,Addison,680718,barga001,bargead01,-1,2024.0,2024.0
3062,Jameson,Drey,686753,jamed003,jamesdr01,26260,2022.0,2023.0
3089,Delay,Jason,641511,delaj004,delayja01,19806,2022.0,2024.0
3098,Bautista,Félix,642585,bautf001,bautife01,20666,2022.0,2023.0
3107,Zuñiga,Guillo,670871,zunig001,zuniggu01,19588,2023.0,2024.0
3108,Strider,Spencer,675911,stris002,stridsp01,27498,2021.0,2024.0
3112,Chafin,Andrew,605177,chafa001,chafian01,12988,2014.0,2024.0
3113,Palacios,Richie,680700,palar002,palacri01,24589,2022.0,2024.0
3119,Poteet,Cody,547001,potec001,poteeco01,18769,2021.0,2024.0
3123,Yorke,Nick,694377,yorkn001,yorkeni01,-1,2024.0,2024.0
3131,Wisler,Matt,605538,wislm001,wislema01,12804,2015.0,2022.0
3141,Faria,Jake,607188,farij001,fariaja01,13699,2017.0,2023.0
3163,Moniak,Mickey,666160,monim001,moniami01,19956,2020.0,2024.0
3184,Albies,Ozzie,645277,albio001,albieoz01,16556,2017.0,2024.0
3220,Hamilton,David,666152,hamid002,hamilda03,27531,2023.0,2024.0
3228,Velazquez,Andrew,623205,velaa001,velazan01,14196,2018.0,2023.0
3246,Soto,Livan,670869,sotol001,sotoli01,22471,2022.0,2024.0
3254,Soderstrom,Tyler,691016,sodet001,soderty01,27467,2023.0,2024.0
3261,Abreu,Bryan,650556,abreb002,abreubr01,16609,2019.0,2024.0
3266,Cronenworth,Jake,630105,cronj001,croneja01,18036,2020.0,2024.0
3288,Knight,Dusten,643400,knigd001,knighdu01,16537,2021.0,2022.0
3291,Kikuchi,Yusei,579328,kikuy001,kikucyu01,20633,2019.0,2024.0
3319,Keuchel,Dallas,572971,keucd001,keuchda01,9434,2012.0,2024.0
3325,Zeuch,T. J.,643615,zeuct001,zeuchtj01,19269,2019.0,2022.0
3330,Bickford,Phil,641360,bickp001,bickfph01,18519,2020.0,2024.0
3331,Thompson,Keegan,624522,thomk002,thompke02,19795,2021.0,2024.0
3338,Farrell,Luke,608652,farrl001,farrelu01,15101,2017.0,2022.0
3342,Tully,Tanner,668684,tullt001,tullyta01,19518,2022.0,2022.0
3368,Verlander,Justin,434378,verlj001,verlaju01,8700,2005.0,2024.0
3369,Simmons,Andrelton,592743,simma001,simmoan01,10847,2012.0,2022.0
3371,Alcalá,Jorge,660896,alcaj001,alcaljo01,19459,2019.0,2024.0
3373,Lange,Alex,656638,langa001,langeal01,19883,2021.0,2024.0
3382,Krehbiel,Joey,607216,krehj001,krehbjo01,13707,2018.0,2023.0
3397,Bellozo,Valente,678368,bellv001,bellova01,-1,2024.0,2024.0
3399,Waldichuk,Ken,686610,waldk003,waldike01,27681,2022.0,2023.0
3411,Vásquez,Randy,681190,vasqr001,vasqura02,24719,2023.0,2024.0
3417,Sánchez,Sixto,664350,sancs001,sanchsi01,19680,2020.0,2024.0
3435,Gonzales,Nick,693304,gonzn001,gonzani01,27490,2023.0,2024.0
3445,Phillips,Evan,623465,phile001,phillev01,17734,2018.0,2024.0
3448,Santander,Anthony,623993,santa003,santaan02,14551,2017.0,2024.0
3487,Godoy,José,608422,godoj001,godoyjo01,15808,2021.0,2022.0
3494,Dana,Caden,702674,danac001,danaca01,-1,2024.0,2024.0
3506,Seagle,Chandler,676882,seagc002,seaglch01,23552,2023.0,2023.0
3526,DeLoach,Zach,676113,deloz001,deloaza01,-1,2024.0,2024.0
3544,Bard,Luke,572703,bardl001,bardlu01,14288,2018.0,2022.0
